ags5,ags8,ags11,beschaeftigte_ot,ot_besch_ao,kr_be_ao_ges,gem_be_ao_ges,ot_besch_ags5_python
11000,11000000,11000000068,957.0,1666.0,1686597,1686597.0,1686595.0
11000,11000000,11000000069,76183.0,74226.0,1686597,1686597.0,1686595.0
11000,11000000,11000000070,1321.0,2532.0,1686597,1686597.0,1686595.0
11000,11000000,11000000071,44766.0,28980.0,1686597,1686597.0,1686595.0
11000,11000000,11000000072,1561.0,1747.0,1686597,1686597.0,1686595.0
11000,11000000,11000000073,6509.0,8654.0,1686597,1686597.0,1686595.0
11000,11000000,11000000074,6738.0,7228.0,1686597,1686597.0,1686595.0
11000,11000000,11000000075,2495.0,3417.0,1686597,1686597.0,1686595.0
11000,11000000,11000000076,9058.0,9275.0,1686597,1686597.0,1686595.0
11000,11000000,11000000077,717.0,1078.0,1686597,1686597.0,1686595.0
11000,11000000,11000000078,71795.0,63462.0,1686597,1686597.0,1686595.0
11000,11000000,11000000079,56301.0,21901.0,1686597,1686597.0,1686595.0
11000,11000000,11000000080,18126.0,19296.0,1686597,1686597.0,1686595.0
11000,11000000,11000000081,4093.0,5684.0,1686597,1686597.0,1686595.0
11000,11000000,11000000082,1015.0,671.0,1686597,1686597.0,1686595.0
11000,11000000,11000000083,17490.0,25081.0,1686597,1686597.0,1686595.0
11000,11000000,11000000084,18118.0,16558.0,1686597,1686597.0,1686595.0
11000,11000000,11000000085,37002.0,28043.0,1686597,1686597.0,1686595.0
11000,11000000,11000000086,229423.0,86647.0,1686597,1686597.0,1686595.0
11000,11000000,11000000087,1785.0,3202.0,1686597,1686597.0,1686595.0
11000,11000000,11000000088,5855.0,4554.0,1686597,1686597.0,1686595.0
11000,11000000,11000000089,593.0,881.0,1686597,1686597.0,1686595.0
11000,11000000,11000000090,14841.0,19230.0,1686597,1686597.0,1686595.0
11000,11000000,11000000091,15012.0,16287.0,1686597,1686597.0,1686595.0
11000,11000000,11000000092,21831.0,17672.0,1686597,1686597.0,1686595.0
11000,11000000,11000000093,3540.0,2540.0,1686597,1686597.0,1686595.0
11000,11000000,11000000094,6315.0,9504.0,1686597,1686597.0,1686595.0
11000,11000000,11000000095,73844.0,55939.0,1686597,1686597.0,1686595.0
11000,11000000,11000000096,7585.0,7212.0,1686597,1686597.0,1686595.0
11000,11000000,11000000097,16793.0,18665.0,1686597,1686597.0,1686595.0
